cell_id,well_id,well_name,well_column,well_row,cellline_name,cell_last_tp,cell_event,well_id,well_drug_name,well_drug_concentration,well_drug_concentration_units
6633381,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633382,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633383,69762,G02,2,7,ND50010,4,TRUE,69762,VRG0024,0.012,uM
6633384,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633385,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633386,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633387,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633388,69762,G02,2,7,ND50010,3,TRUE,69762,VRG0024,0.012,uM
6633389,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633390,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633391,69762,G02,2,7,ND50010,3,TRUE,69762,VRG0024,0.012,uM
6633392,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633393,69763,G03,3,7,ND50010,2,TRUE,69763,VRG0045,2,uM
6633394,69763,G03,3,7,ND50010,1,TRUE,69763,VRG0045,2,uM
6633395,69763,G03,3,7,ND50010,1,TRUE,69763,VRG0045,2,uM
6633396,69763,G03,3,7,ND50010,1,TRUE,69763,VRG0045,2,uM
6633397,69763,G03,3,7,ND50010,10,FALSE,69763,VRG0045,2,uM
6633398,69763,G03,3,7,ND50010,10,FALSE,69763,VRG0045,2,uM
6633399,69763,G03,3,7,ND50010,3,TRUE,69763,VRG0045,2,uM
6633400,69763,G03,3,7,ND50010,10,FALSE,69763,VRG0045,2,uM
6633401,69763,G03,3,7,ND50010,10,FALSE,69763,VRG0045,2,uM
6633402,69763,G03,3,7,ND50010,10,FALSE,69763,VRG0045,2,uM
6633403,69763,G03,3,7,ND50010,1,TRUE,69763,VRG0045,2,uM
6633404,69763,G03,3,7,ND50010,10,FALSE,69763,VRG0045,2,uM
6633405,69763,G03,3,7,ND50010,1,TRUE,69763,VRG0045,2,uM
6633406,69763,G03,3,7,ND50010,7,TRUE,69763,VRG0045,2,uM
6633407,69763,G03,3,7,ND50010,2,TRUE,69763,VRG0045,2,uM
6633408,69763,G03,3,7,ND50010,2,TRUE,69763,VRG0045,2,uM
6633409,69763,G03,3,7,ND50010,10,FALSE,69763,VRG0045,2,uM
